"","PC1","PC2","PC3"
"point2.11.palatine.height.resids_point14.15.orbit.diameter.resids",-0.00129855005265243,-0.0116530324292441,0.00233844067999561
"point2.11.palatine.height.resids_point2.18.suspensorium.length.resids",0.00246745454962272,-0.0203124026208366,0.00129307565839063
"point2.11.palatine.height.resids_point9.10.ascending.proess.length.resids",-0.00423638803695216,0.0241253405723525,0.00492729242572386
"point2.11.palatine.height.resids_point2.4.opening.inlever.resids",0.0103305300400326,-0.0766593382763005,-0.00489203790880891
"point2.11.palatine.height.resids_point12.19.nasal.tissue.protrusion.resids",0.0158063831576138,-0.172625626778907,0.00115734699339102
"point2.11.palatine.height.resids_point11.14.ectopterygoid.resids",-0.00867382977636267,0.0407197171278967,0.00362780092266445
"point2.11.palatine.height.resids_point16.18.head.depth.resids",-0.000445863639859732,-0.0172328923506268,-0.000310530871179933
"point2.11.palatine.height.resids_point12.13.maxillary.head.protrusion.resids",-0.000999421378130068,0.00146897941019528,0.00577374847436022
"point2.11.palatine.height.resids_point6.11.maxilla.length.resids",-0.00648635370520131,0.0182965539132666,0.00660964292965133
"point2.11.palatine.height.resids_point11.13.maxillary.head.height.resids",-0.0101696489589769,0.0127518593467059,0.00820647992341082
"point2.11.palatine.height.resids_point17.18.pelvic.girdle.length.resids",-0.000541051055229141,-0.0219741526739585,-0.00770746134131272
"point2.3.jaw.closing.inlever.resids_point5.8.dentigerous.arm.width.resids",0.0119041526754833,-0.0199164495541544,-0.0137021132798175
"point2.3.jaw.closing.inlever.resids_point7.5.dentigerous.arm.base.resids",-0.0141344170740464,0.0128560462133774,0.00392666172532405
"point2.3.jaw.closing.inlever.resids_point1.2.lower.jaw.length.resids",0.00308752236533602,0.0232791143320579,0.00237749016431117
"point2.3.jaw.closing.inlever.resids_point8.9.dentigerous.arm.depth.resids",0.00619667990734184,0.0511078626687352,0.00152708793529962
"point2.3.jaw.closing.inlever.resids_point2.11.palatine.height.resids",-0.00497980330317142,0.0209881497124688,0.00218670162591297
"point2.3.jaw.closing.inlever.resids_point2.3.jaw.closing.inlever.resids",-0.00291616784440203,0.0389045303135247,-0.0174842932195252
"point2.3.jaw.closing.inlever.resids_point15.16.cranial.height.resids",0.00559982131739707,-0.0507274403781363,-0.0125265688060778
"point2.3.jaw.closing.inlever.resids_point14.15.orbit.diameter.resids",0.00738362555753813,0.00337548431976558,0.00571914383423077
"point2.3.jaw.closing.inlever.resids_point2.18.suspensorium.length.resids",-0.00320282132385706,-0.0137826367100728,0.0019086932045772
"point2.3.jaw.closing.inlever.resids_point9.10.ascending.proess.length.resids",-0.00106970529909296,0.00185375418344881,-2.25354186207906e-05
"point2.3.jaw.closing.inlever.resids_point2.4.opening.inlever.resids",-0.0218153224950657,-0.0617294986286948,0.000215597596768817
"point2.3.jaw.closing.inlever.resids_point12.19.nasal.tissue.protrusion.resids",0.035050681584981,-0.157545682229221,-0.0379240060493828
"point2.3.jaw.closing.inlever.resids_point11.14.ectopterygoid.resids",-0.0121571905980874,0.0282752202461034,0.00657257488431176
"point2.3.jaw.closing.inlever.resids_point16.18.head.depth.resids",0.00617709095827158,-0.0105924988677593,-0.00732168932057997
"point2.3.jaw.closing.inlever.resids_point12.13.maxillary.head.protrusion.resids",-0.0234648437170238,-0.129761795873775,-0.0559980823818276
"point2.3.jaw.closing.inlever.resids_point6.11.maxilla.length.resids",-0.00443081513332813,0.00620627130531163,0.000625676512874335
"point2.3.jaw.closing.inlever.resids_point11.13.maxillary.head.height.resids",0.0178086082792065,0.0176267115338194,-0.0024727766209382
"point2.3.jaw.closing.inlever.resids_point17.18.pelvic.girdle.length.resids",0.0081737655658729,0.00921214788671818,-0.00455519162262383
"point15.16.cranial.height.resids_point5.8.dentigerous.arm.width.resids",-0.000213541899719288,0.0215626451715315,0.00720186534292357
"point15.16.cranial.height.resids_point7.5.dentigerous.arm.base.resids",-0.00270637267232689,-0.0129671406604007,-0.00427892608248541
"point15.16.cranial.height.resids_point1.2.lower.jaw.length.resids",0.0060185982703297,-0.044290736174102,0.00678524943115733
"point15.16.cranial.height.resids_point8.9.dentigerous.arm.depth.resids",0.0132759417620072,-0.096779582760274,-0.0207535476539447
